12.10.2021;Liste over politisk eksponerede personer jf. hvidvasklovens § 18, stk. 7, jf. § 2, stk. 1, nr. 8, litra a-h;;;;;;;;;;;
;Navn;;Stillingsbetegnelse ;Fødselsdato;Tilføjet på PEP-listen (dato);Ny på PEP-listen (x);;;;;;
Statschef, regeringschef, minister og viceminister eller ass. minister, jf. § 2, stk. 1, nr. 8 litra a;;;;;;;;;;;;
;Frederiksen;Mette;Statsminister ;19.11.1977;09.07.2019;;;;;;;
;Kofod;Jeppe;Udenrigsminister;14.03.1974;09.07.2019;;;;;;;
 ;Hækkerup;Nick ;Justitsminister;03.04.1968;09.07.2019;;;;;;;
;Wammen;Nicolai Halby;Finansminister;07.02.1971;09.07.2019;;;;;;;
;Bramsen;Trine;Forsvarsminister;26.03.1981;09.07.2019;;;;;;;
;Krag;Astrid;Social- og indenrigsminister;17.11.1982;09.07.2019;;;;;;;
;Mortensen;Flemming Møller;Minister for udviklingssamarbejde og Nordisk Samarbejde;03.07.1963;16.08.2021;;;;;;;
 ;Hummelgaard;Peter ;Beskæftigelsesminister;17.01.1983;09.07.2019;;;;;;;
;Tesfaye;Mattias;Udlændinge- og Integrationsminister;31.03.1981;09.07.2019;;;;;;;
;Petersen;Jesper;Uddannelses- og Forskningsminister;25.08.1981;24.08.2021;;;;;;;
;Jørgensen;Dan;Klima-, Energi- og Forsyningsminister;12.06.1975;09.07.2019;;;;;;;
;Bødskov;Morten;Skatteminister;01.05.1970;09.07.2019;;;;;;;
 ;Rosenkrantz-Theil;Pernille ;Børne- og undervisningsminister;17.01.1977;09.07.2019;;;;;;;
;Halsboe-Jørgensen;Ane;Kultur og Kirkeminister;04.05.1983;24.08.2021;;;;;;;
 ;Engelbrecht;Benny;Transportminister;04.08.1970;10.07.2019;;;;;;;
 ;Bek;Kaare Dybvad;Boligminister;05.08.1984;10.07.2019;;;;;;;
;Heunicke;Magnus Johannes;Sundheds- og ældreminister;28.01.1975;09.07.2019;;;;;;;
;Wermelin;Lea ;Miljøminister;10.05.1985;09.07.2019;;;;;;;
 ;Prehn;Rasmus;Minister for fødevarer, fiskeri og ligestilling og minister for nordisk samarbejde;18.06.1973;09.09.2021;;;;;;;
;Kollerup;Simon;Erhvervsminister ;20.05.1986;27.06.2019;;;;;;;
Departementschefer ;;;;;;;;;;;;
;Bæk;Morten;Forsvarsministeriet, departementschef;25.06.1973;04.08.2021;;;;;;;
;Bertelsen ;Barbara ;Statsministeriet, departementschef;24.09.1973;13.01.2020;;;;;;;
;Brøchner;Jens;Skatteministeriet, departementschef;16.08.1972;29.12.2017;;;;;;;
;Bæk;Morten;Energi-, forsynings- og klimaministeriet, dep.chef;25.06.1973;19.07.2018;;;;;;;
;Christensen;Christian Dons;Kirkeministeriet, departementschef;10.02.1969;29.12.2017;;;;;;;
;Dithmer;Michael;Erhvervsministeriet, departementschef;18.02.1954;29.12.2017;;;;;;;
;Garfiel;Sophus;Social- og Indenrigsministeriet, departem.chef;06.11.1968;29.12.2017;;;;;;;
;Hansen;Birgitte;Børn - og Undervisningsministeriet, departementschef;02.04.1966;03.04.2020;;;;;;;
;Heinsen;Jacob;Transport- og Boligministeriet, departementschef;30.11.1964;29.12.2017;;;;;;;
;Mikkelsen ;Pernille Breinholdt;Udlændinge- og Integrationsministeriet, dep.chef;26.08.1969;05.10.2021;;;;;;;
;Jensen;Jakob;Beskæftigelsesministeriet, departementschef;06.11.1974;29.12.2017;;;;;;;
;Legarth;Johan Kristian  ;Justitsministeriet, departementschef;24.12.1974;30.04.2020;;;;;;;
;Lose ;Lars Gert;Udenrigsministeriet, departementschef;17.12.1969;02.04.2019;;;;;;;
;Meldgaard;Hanne ;Uddannelses- og Forskningsministeriet, dep.chef;06.10.1977;19.05.2020;;;;;;;
;Mortensen;Flemming Møller;Minister for udviklingssamarbejde og Nordisk Samarbejde;03.07.1963;16.03.2021;;;;;;;
;Mørch;Peter Stensgaard;Finansministeriet, departementschef;09.09.1975;14.08.2020;;;;;;;
;Nøhr Andersen;Dorte;Kulturministeriet, departementschef;17.01.1975;28.09.2020;;;;;;;
;Studsgaard;Henrik;Miljø- og Fødevareministeriet, departementschef;11.07.1963;29.12.2017;;;;;;;
;Særkjær ;Svend;Sundheds- og Ældreministeriet, departementschef;26.02.1968;11.01.2021;;;;;;;
Parlamentsmedlem eller medlem af et tilsvarende organ, jf. § 2, stk. 1, nr. 8, litra b;;;;;;;;;;;;
Medlemmer af Folketinget;;;;;;;;;;;;
;Auken;Ida;Socialdemokratiet;22.04.1978;04.02.2021;;;;;;;
;Bek;Kaare Dybvad;Socialdemokratiet;05.08.1984;29.12.2017;;;;;;;
;Bramsen;Trine;Socialdemokratiet;26.03.1981;29.12.2017;;;;;;;
;Bressendorff;Brian;Socialdemokratiet (stedfortræder);24.11.1987;11.10.2021;;;;;;;
;Bødskov;Morten;Socialdemokratiet;01.05.1970;29.12.2017;;;;;;;
;Damsbo-Andersen;Lennart;Socialdemokratiet;05.10.1956;29.12.2017;;;;;;;
;Engelbrecht;Benny;Socialdemokratiet;04.08.1970;29.12.2017;;;;;;;
;Fabricius-Jensen ;Camilla;Socialdemokratiet;20.10.1971;25.06.2019;;;;;;;
;Frederiksen;Mette;Socialdemokratiet;19.11.1977;29.12.2017;;;;;;;
;Grandt;Alexander;Socialdemokratiet (stedfortræder);09.09.1989;15.09.2021;;;;;;;
;Halsboe-Jørgensen;Ane;Socialdemokratiet;04.05.1983;23.08.2018;;;;;;;
;Hav;Orla;Socialdemokratiet;03.04.1952;29.12.2017;;;;;;;
;Heunicke;Magnus Johannes;Socialdemokratiet;28.01.1975;29.12.2017;;;;;;;
;Hindborg;Dorthe;Socialdemokratiet;03.01.1968;17.01.2020;;;;;;;
;Hummelgaard;Peter;Socialdemokratiet;17.01.1983;29.12.2017;;;;;;;
;Hækkerup;Nick;Socialdemokratiet;03.04.1968;29.12.2017;;;;;;;
;Jakobsen;Daniel Toft;Socialdemokratiet;12.05.1978;29.12.2017;;;;;;;
;Jensen;Thomas;Socialdemokratiet;19.10.1970;29.12.2017;;;;;;;
;Jensen;Leif Lahn;Socialdemokratiet;29.06.1967;29.12.2017;;;;;;;
;Jensen;Mogens;Socialdemokratiet;31.10.1963;29.12.2017;;;;;;;
;Johansen;Jan ;Socialdemokratiet;12.12.1955;29.12.2017;;;;;;;
;Jørgensen;Dan;Socialdemokratiet;12.06.1975;29.12.2017;;;;;;;
;Kjær;Kasper Sand;Socialdemokratiet;04.05.1989;25.06.2019;;;;;;;
;Kollerup;Simon;Socialdemokratiet;20.05.1986;29.12.2017;;;;;;;
;Krag;Astrid;Socialdemokratiet;17.11.1982;29.12.2017;;;;;;;
;Kristensen;Henrik Dam;Socialdemokratiet;31.01.1957;29.12.2017;;;;;;;
;Kronborg;Anders ;Socialdemokratiet;18.03.1982;25.06.2019;;;;;;;
;Langhoff;Rasmus Horn;Socialdemokratiet;08.10.1980;29.12.2017;;;;;;;
;Larsen;Malte;Socialdemokratiet;19.12.1968;25.06.2019;;;;;;;
;Larsson;Tanja ;Socialdemokratiet;07.07.1977;19.10.2020;;;;;;;
;Laustsen;Bjarne;Socialdemokratiet;09.12.1953;29.12.2017;;;;;;;
;Lind;Annette;Socialdemokratiet;02.06.1969;29.12.2017;;;;;;;
;Madsen;Christian Rabjerg;Socialdemokratiet;24.03.1986;29.12.2017;;;;;;;
;Mortensen;Flemming Møller;Socialdemokratiet;03.07.1963;29.12.2017;;;;;;;
;Møller;Henrik;Socialdemokratiet;16.11.1965;25.06.2019;;;;;;;
;Nielsen;Jens Joel;Socialdemokratiet;12.05.1978;28.02.2020;;;;;;;
;Paulin;Anne;Socialdemokratiet;05.01.1988;01.09.2021;;;;;;;
;Petersen;Jesper;Socialdemokratiet;25.08.1981;29.12.2017;;;;;;;
;Prehn;Rasmus;Socialdemokratiet;18.06.1973;29.12.2017;;;;;;;
;Rasmussen;Lars Aslan;Socialdemokratiet;31.10.1978;29.12.2017;;;;;;;
;Ravn;Troels;Socialdemokratiet;02.08.1961;29.12.2017;;;;;;;
;Rosenkrantz-Theil;Pernille;Socialdemokratiet;17.01.1977;29.12.2017;;;;;;;
;Roug;Kasper;Socialdemokratiet;06.06.1979;25.06.2019;;;;;;;
;Sina;Anne;Socialdemokratiet (stedfortræder);03.04.1987;20.09.2021;;;;;;;
;Skovsby;Julie;Socialdemokratiet;15.11.1978;29.12.2017;;;;;;;
;Stoklund;Rasmus ;Socialdemokratiet;17.03.1984;25.06.2019;;;;;;;
;Tesfaye;Mattias;Socialdemokratiet;31.03.1981;29.12.2017;;;;;;;
;Vind;Birgitte;Socialdemokratiet;13.08.1965;25.06.2019;;;;;;;
;Wammen;Nicolai;Socialdemokratiet;07.02.1971;29.12.2017;;;;;;;
;Wermelin;Lea;Socialdemokratiet;10.05.1985;23.08.2018;;;;;;;
;Adsbøl;Karina;Dansk Folkeparti;28.11.1976;05.10.2020;;;;;;;
;Ahrendtsen;Alex;Dansk Folkeparti;14.02.1967;05.10.2020;;;;;;;
;Bech;Lise;Dansk Folkeparti;16.09.1961;29.12.2017;;;;;;;
;Blixt;Pia Liselott;Dansk Folkeparti;22.02.1965;02.12.2019;;;;;;;
;Bøgsted;Bent;Dansk Folkeparti;04.01.1956;29.12.2017;;;;;;;
;Christensen;René;Dansk Folkeparti;31.10.1970;29.12.2017;;;;;;;
;Dahl;Jens Henrik Thulesen;Dansk Folkeparti;20.07.1961;15.11.2019;;;;;;;
;Dencker;Mette Hjermind;Dansk Folkeparti;24.05.1978;29.12.2017;;;;;;;
;Espersen;Søren;Dansk Folkeparti;20.07.1953;29.12.2017;;;;;;;
;Flydtkjær;Dennis;Dansk Folkeparti;13.03.1978;26.06.2020;;;;;;;
;Kjærsgaard;Pia;Dansk Folkeparti;23.02.1947;29.12.2017;;;;;;;
;Krarup;Marie;Dansk Folkeparti;06.12.1965;15.11.2019;;;;;;;
;Messerschmidt;Morten;Dansk Folkeparti;13.11.1980;25.06.2019;;;;;;;
;Skibby;Hans Kristian;Dansk Folkeparti;18.01.1969;29.12.2017;;;;;;;
;Skaarup;Peter;Dansk Folkeparti;01.05.1964;29.12.2017;;;;;;;
;Ambo-Rasmussen;Marlene;Venstre;14.03.1986;25.06.2019;;;;;;;
;Andersen;Hans;Venstre;01.11.1974;29.12.2017;;;;;;;
;Bank;Heidi;Venstre; 01.08.1972;25.06.2019;;;;;;;
;Bjerre;Marie;Venstre; 06.05.1986;05.05.2021;;;;;;;
;Bonnesen;Erling;Venstre;28.03.1955;29.12.2017;;;;;;;
;Dahlin;Morten;Venstre;01.05.1989;25.06.2019;;;;;;;
;Danielsen;Thomas;Venstre;24.06.1983;30.06.2020;;;;;;;
;Elholm;Louise Schack;Venstre;26.10.1977;29.12.2017;;;;;;;
;Ellemann;Karen;Venstre;26.08.1969;23.08.2018;;;;;;;
;Ellemann-Jensen;Jakob;Venstre;25.09.1973;23.08.2018;;;;;;;
;Frederiksen;Claus Hjort;Venstre;04.09.1947;29.12.2017;;;;;;;
;Fuglede;Mads;Venstre;23.08.1971;25.06.2019;;;;;;;
;Borreskov;Martin Raahauge B. Geertsen;Venstre;16.03.1970;23.08.2018;;;;;;;
;Hansen;Eva Kjer;Venstre;22.08.1964;29.12.2017;;;;;;;
;Heitmann;Jane;Venstre;05.11.1968;29.12.2017;;;;;;;
;Henriksen;Preben Bang;Venstre;11.02.1954;29.12.2017;;;;;;;
;Haarder;Bertel;Venstre;07.09.1944;29.12.2017;;;;;;;
;Jensen;Jacob;Venstre;26.05.1973;29.12.2017;;;;;;;
;Jensen;Michael Aastrup;Venstre;16.03.1976;29.12.2017;;;;;;;
;Juel-Jensen;Peter;Venstre;18.05.1966;29.12.2017;;;;;;;
;Jørgensen;Jan Ejnar;Venstre;19.02.1965;29.12.2017;;;;;;;
;Kissmeyer;Carsten ;Venstre;22.05.1953;02.10.2018;;;;;;;
;Knuth;Stén;Venstre;15.12.1964;25.06.2019;;;;;;;
;Lauritzen;Karsten;Venstre;14.10.1983;29.12.2017;;;;;;;
;Lilleholt;Lars Christian;Venstre;02.03.1965;29.12.2017;;;;;;;
;Lorentzen;Kristian Pihl;Venstre;19.05.1961;29.12.2017;;;;;;;
;Løhde;Sophie;Venstre;11.09.1983;29.12.2017;;;;;;;
;Matthiesen;Anni;Venstre;08.02.1964;29.12.2017;;;;;;;
;Melson;Christoffer Aagaard;Venstre;16.08.1984;25.06.2019;;;;;;;
;Mikkelsen ;Kenneth Dehn ;Venstre;12.08.1971;06.04.2021;;;;;;;
;Nørby;Ellen Trane;Venstre;01.02.1980;29.12.2017;;;;;;;
;Pedersen;Torsten Schack;Venstre;26.06.1976;29.12.2017;;;;;;;
;Poulsen;Troels Lund;Venstre;30.03.1976;23.03.2020;;;;;;;
;Schmidt;Hans Christian;Venstre;25.08.1953;29.12.2017;;;;;;;
;Tørnæs;Ulla;Venstre;04.09.1962;25.06.2019;;;;;;;
;Valentin;Kim ;Venstre;19.03.1963;25.06.2019;;;;;;;
;Willumsen;Gitte;Venstre (stedfortræder);12.02.1967;17.01.2020;;;;;;;
;Øktem;Fatma;Venstre;18.12.1973;25.06.2019;;;;;;;
;Østergaard;Anne Honoré;Venstre;24.01.1981;25.06.2019;;;;;;;
;Rasmussen;Anne;Venstre;14.04.1971;01.09.2021;;;;;;;
;Flyvholm;Eva;Enhedslisten;18.04.1981;06.04.2021;;;;;;;
;Gottlieb;Jette;Enhedslisten;23.09.1948;25.06.2019;;;;;;;
;Hvelplund;Peder;Enhedslisten;08.09.1967;25.06.2019;;;;;;;
;Hyllested;Henning;Enhedslisten;28.02.1954;14.06.2021;;;;;;;
;Juhl;Christian;Enhedslisten;24.02.1953;29.12.2017;;;;;;;
;Lund;Rosa;Enhedslisten;04.12.1986;25.06.2019;;;;;;;
;Lund;Rune;Enhedslisten;30.10.1976;29.12.2017;;;;;;;
;Rasmussen;Søren Egge;Enhedslisten;02.07.1961;29.12.2017;;;;;;;
;Skipper;Pernille;Enhedslisten;10.07.1984;29.12.2017;;;;;;;
;Sølvhøj;Jakob;Enhedslisten;12.09.1954;29.12.2017;;;;;;;
;Søndergaard;Søren;Enhedslisten;16.08.1955;29.12.2017;;;;;;;
;Velasquez;Victoria;Enhedslisten; 18.07.1991;25.06.2019;;;;;;;
;Villadsen;Mai;Enhedslisten; 26.12.1991;25.06.2019;;;;;;;
;Dahl;Henrik;Liberal Alliance;20.02.1960;29.12.2017;;;;;;;
;Olesen;Ole Birk;Liberal Alliance;21.12.1972;29.12.2017;;;;;;;
;Vanopslagh;Alex;Liberal Alliance;17.10.1991;25.06.2019;;;;;;;
;Gejl;Torsten;Alternativet;30.01.1964;13.12.2019;;;;;;;
;Callesen;Anne Sophie;Radikale Venstre;25.12.1988;14.06.2021;;;;;;;
;Thorholm;Christina;Radikale Venstre;11.08.1964;09.09.2021;;;;;;;
;Jelved;Marianne;Radikale Venstre;05.09.1943;29.12.2017;;;;;;;
;Lidegaard;Martin;Radikale Venstre;12.12.1966;29.12.2017;;;;;;;
;Lindgreen;Stinus;Radikale Venstre;09.08.1980;25.06.2019;;;;;;;
;Nawa;Samira;Radikale Venstre; 30.03.1988;25.06.2019;;;;;;;
;Nielsen;Susan Kronborg;Radikale Venstre;05.07.1968;23.06.2021;;;;;;;
;Nielsen;Sofie Carsten;Radikale Venstre;24.05.1975;29.12.2017;;;;;;;
;NIelsen;Susan Kronborg;Radikale Venstre (stedfortræder);05.07.1968;09.11.2020;;;;;;;
;Olldag;Kathrine;Radikale Venstre;20.12.1972;25.06.2019;;;;;;;
;Petersen;Rasmus Helveg;Radikale Venstre;17.06.1968;25.06.2019;;;;;;;
;Robsøe;Katrine;Radikale Venstre;21.06.1991;25.06.2019;;;;;;;
;Rod;Lotte;Radikale Venstre ;10.06.1985;13.07.2020;;;;;;;
;Stampe;Zenia;Radikale Venstre;30.03.1979;29.12.2017;;;;;;;
;Steenberg;Andreas;Radikale Venstre;22.07.1983;29.12.2017;;;;;;;
;Andersen;Kirsten Normann;Socialistisk Folkeparti ;28.04.1962;29.12.2017;;;;;;;
;Bech-Nielsen;Lisbeth ;Socialistisk Folkeparti;01.12.1982;03.08.2021;;;;;;;
;Berthelsen;Anne Valentina;Socialistisk Folkeparti;16.09.1994;25.06.2019;;;;;;;
;Brændemose;Anna ;Socialistisk Folkeparti (stedfortræder);03.08.1993;12.03.2020;;;;;;;
;Carøe;Astrid;Socialistisk Folkeparti;12.07.1994;25.06.2019;;;;;;;
;Dehnhardt;Karina Lorentzen;Socialistisk Folkeparti;26.10.1973;25.06.2019;;;;;;;
;Dyhr;Pia Olsen;Socialistisk Folkeparti;30.11.1971;29.12.2017;;;;;;;
;Filsø;Karsten;Socialistisk Folkeparti (stedfortræder);07.09.1959;11.10.2021;;;;;;;
;Hønge;Karsten;Socialistisk Folkeparti;25.09.1958;29.12.2017;;;;;;;
;Mark;Jacob;Socialistisk Folkeparti;16.10.1991;29.12.2017;;;;;;;
;Nordqvist;Rasmus;Socialistisk Folkeparti;18.07.1975;09.03.2020;;;;;;;
;Oguz;Halime;Socialistisk Folkeparti;15.06.1970;18.11.2019;;;;;;;
;Strøjer-Schmidt;Ina;Socialistisk Folkeparti;20.09.1988;25.06.2019;;;;;;;
;Torp;Trine;Socialistisk Folkeparti;18.02.1970;29.12.2017;;;;;;;
;Valentin;Carl;Socialistisk Folkeparti;11.03.1992;25.06.2019;;;;;;;
;Abildgaard;Mette;Det Konservative Folkeparti;12.10.1988;31.03.2021;;;;;;;
;Ammitzbøll;Katarina;Det Konservative Folkeparti;15.07.1969;25.06.2019;;;;;;;
;Jerkel;Brigitte Klintskov;Det Konservative Folkeparti;21.07.1969;01.09.2021;;;;;;;
;Bager;Britt;Det Konservative Folkeparti;16.08.1976;31.03.2021;;;;;;;
;Bergman;Birgitte;Det Konservative Folkeparti;13.01.1967;25.06.2019;;;;;;;
;Hansen;Niels Flemming;Det Konservative Folkeparti;16.05.1974;25.06.2019;;;;;;;
;Jarlov;Rasmus;Det Konservative Folkeparti;29.04.1977;05.05.2021;;;;;;;
;Juul;Mona;Det Konservative Folkeparti;20.09.1967;25.06.2019;;;;;;;
;Knuth;Marcus;Det Konservative Folkeparti;02.04.1976;29.12.2017;;;;;;;
;Larsen;Per;Det Konservative Folkeparti;27.06.1965;25.06.2019;;;;;;;
;Mercado;Mai;Det Konservative Folkeparti;20.08.1980;29.12.2017;;;;;;;
;Poulsen;Søren Pape;Det Konservative Folkeparti;31.12.1971;29.12.2017;;;;;;;
;Christensen;Peter Seier;Nye Borgerlige;30.12.1967;25.06.2019;;;;;;;
;Mathiesen;Lars Boje;Nye Borgerlige;21.05.1975;25.06.2019;;;;;;;
;Thiesen;Mette;Nye Borgerlige;20.12.1981;25.06.2019;;;;;;;
;Vermund;Pernille;Nye Borgerlige;03.12.1975;25.06.2019;;;;;;;
;Høegh-Dam;Aki-Matilda;Grøndland, Siumut;17.10.1996;25.06.2019;;;;;;;
;Larsen;Aaja Chemnitz;Grønland, Inuit Ataqatigiit;02.12.1977;29.12.2017;;;;;;;
;Joensen;Edmund;Færøerne, Sambandsflokkurin;19.09.1944;13.11.2020;;;;;;;
;Skaale;Sjúrður ;Færøerne, Javnaðarflokkurin;08.03.1967;26.05.2021;;;;;;;
;Rohde;Jens;Kristendemokraterne;18.04.1970;05.05.2021;;;;;;;
;Ammitzbøll-Bille ;Simon Emil ;Uden for parti;20.10.1977;23.10.2019;;;;;;;
;Elbæk;Uffe;Uden for parti;15.06.1954;09.03.2020;;;;;;;
;Rasmussen;Lars Løkke;Uden for parti;15.05.1964;01.01.2021;;;;;;;
;Siddique;Sikandar;Uden for parti;04.10.1986;09.03.2020;;;;;;;
;Zimmer;Susanne;Uden for parti;09.06.1960;09.03.2020;;;;;;;
;Støjberg;Inger;Uden for parti;16.03.1973;29.12.2017;;;;;;;
;Østerby;Orla;Uden for parti;29.02.1952;03.12.2020;;;;;;;
Medlemmer af Europaparlamentet;;;;;;;;;;;;
;Fuglsang ;Niels ;Socialdemokratiet;29.06.1985;19.10.2020;;;;;;;
;Schaldemose;Christel;Socialdemokratiet;04.08.1967;29.12.2017;;;;;;;
;Vind;Marianne ;Socialdemokratiet;03.12.1970;19.10.2020;;;;;;;
;Petersen;Morten Helveg;Radikale Venstre;14.09.1966;29.12.2017;;;;;;;
;Melchior;Karen;Radikale Venstre;15.10.1980;11.11.2019;;;;;;;
;Auken;Margrete;Socialistisk Folkeparti;06.01.1945;29.12.2017;;;;;;;
;Peter-Hansen;Kira Marie;Socialistisk Folkeparti;23.02.1998;02.11.2020;;;;;;;
;Kofod;Peter;Dansk Folkeparti;27.02.1990;03.10.2019;;;;;;;
;Løkkegaard;Morten;Venstre;20.12.1964;29.12.2017;;;;;;;
;Gade;Søren;Venstre;27.01.1963;08.08.2019;;;;;;;
;Christensen;Asger;Venstre;08.01.1958;08.08.2019;;;;;;;
;Søgaard-Lidell;Linea;Venstre;30.03.1987;02.11.2020;;;;;;;
;Weiss;Pernille;Det Konservative Folkeparti;12.03.1968;02.11.2020;;;;;;;
;Villumsen;Nikolaj Barslund;Enhedslisten;28.02.1983;02.11.2020;;;;;;;
Medlemmer af partiernes styrelsesorganer, jf. § 2, stk. 1, nr. 8, litra c;;;;;;;;;;;;
;Andersen;Inge Kjær;Socialdemokratiet;18.01.1977;29.12.2017;;;;;;;
;Ankler;Jan;Socialdemokratiet;15.06.1948;29.12.2017;;;;;;;
;Astman ;Ulla;Socialdemokratiet;05.04.1970;19.10.2020;;;;;;;
;Beck;Niels Ole;Socialdemokratiet;14.03.1957;29.12.2017;;;;;;;
;Brønfeld;Hans ;Socialdemokratiet;04.08.1948;29.12.2017;;;;;;;
;Bundsgaard;Jacob ;Socialdemokratiet;28.02.1976;29.12.2017;;;;;;;
;Christensen;Jan Juul;Socialdemokratiet;24.10.1969;29.12.2017;;;;;;;
;Frederiksen;Mette;Socialdemokratiet;19.11.1977;29.12.2017;;;;;;;
;Gravesen;Jette Buus;Socialdemokratiet;08.05.1950;29.12.2017;;;;;;;
